NU_INSCRICAO,NU_NOTA_MT
73ff9fcc02f0a99919906c942c2e1a1042cdcf98,439.37
71a95f9f1b91a82c65ad94abbdf9f54e6066f968,462.16
b38a03232f43b11c9d0788abaf060f7366053b6d,636.6899999999999
715494628a50142ce8cb17191cfe6d0f3cae0934,479.36500000000007
e656d6bad65c93fb2880f1eba5037008c8e75774,449.83500000000004
465cd2a6907fb37d9d8ad3c065f0e2dabdba9b13,519.705
11539e86171bf07d3a36f09377d7f54ebcc8406a,470.1650000000001
043c544a2104aa8a9849f1a703a08d37a2f16839,499.985
76ba050e64ad100b856f0eaabd8f539d5c7dd185,478.0200000000001
940aede382ccb332fab15d413217695ec44ca765,462.555
9ad714b116da76d878dd399d187fccc2dd13dd63,597.75
dd34464a4d780b12a089347ad580418ac57a3055,494.01000000000005
f837a4cb05a5fd59d20138182f5e8c721eadd584,479.41
051c4f04fcbe385e1b3964aeb87f0a41d7f203d0,426.055
3d203727f27abd83b71732d88d8cb1cc099f363b,409.255
cbc301183dec912f3513ca766bf03dd565f3a38f,443.285
856aa14bcd11bd289a3b970aab0ce1b166f2c50f,659.3050000000001
11282da1ee78c8db45a041db4c744e33df489df0,434.105
03c67f683a415c2ea09b582248bd4cb08528c19d,611.71
046e844fb06a07ba30b41521f0065a8d9c6e5024,382.355
b296bc595a212a2f89a35470a4bdbb3bfc3f7f1a,398.50000000000006
f66c2e5ff22a95fa532e78c7c4bf1d145247211d,382.255
17f0dd5abd53dea135ffd020e8e8e0761b3a56aa,536.9000000000001
fbbd23fcfb37cf90b8c1f58eafcab62771f3cd71,467.63
a99286ac4fdce6f63b59569b2d8ed85a5c911ea3,500.31499999999994
f8d4f9a26c5f2023c33701a8888f9c02513a02c7,478.61
9785b7d9ca2e8dccfe60ecc0cd2abe1ff51906be,455.4449999999999
59bfa081e020013410d9f60f91813964ba749bb2,410.33500000000004
f5e069ee3bc95998464e8ff5da048b7f999921ed,459.11
e02240b518016d03a1b5bcc6d0a37b7a527ea93d,666.1299999999999
664f44258212a1f7e4086f2b4845d586c543fa3f,463.755
265cd7befa74a9f2a198fc57baec9858075f8419,394.27000000000004
6f9ac44919bbd204e0ef15185388fd2d4bc61253,525.1800000000001
78de1ee60b55766cc3eba4089e36c57139b66ebd,422.28999999999996
1e61a474acdc043eb39a89c17fab34bd2ea1a940,408.56500000000005
940af68ded6af2875708611051aa7ff3f134d80b,505.995
e7ec3258f3b280c1ddf452d107fbdc9fb5a6b72e,476.0450000000001
c76ddf6e9f80984e901b12f9462a3cf029bea290,428.13500000000005
